"fecha","unidad","descrubicacion","ubicacion","departamento","violencia","tamano","electoral","observaciones","numpolicias","nummilitares","toma","grupo","desalojo","lon","lat","location"
2017-11-30,"UDEP-02 Colon","aldea Cayo Campo","Tocoa","Colon","Pacifica","350","Si","simpatizantes del partido Alianza opositora quienes queman llantas y envían mensajes eufóricos.",NA,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-85.9968479,15.6576354,"15.6576354,-85.9968479"
2017-11-30,"UDEP-02 Colon","Aldea de Planes","Sonaguera","Colon","Pacifica","300","Si","simpatizantes del partido Alianza opositora quienes queman llantas dejando inhabilitado el paso vehicular",29,0,"Si","Simpatizantes de la Alianza de Oposicion","Ninguno",-86.2717231,15.6156202,"15.6156202,-86.2717231"
2017-12-01,"UMEP-1 Los Dolores","km 2 de la carretera que conduce hacia la aldea el hatillo","Tegucigalpa","Francisco Morazan","Pacifica","100","Si","reclaman la victoria del Partido político de la Alianza",NA,0,"No","Simpatizantes de la Alianza de Oposicion","Pacifico",-87.192136,14.0722751,"14.0722751,-87.192136"
2017-12-01,"UMEP-02 Belen","Colonia San Francisco","Tegucigalpa","Francisco Morazan","Pacifica","20","Si","reclaman la victoria del Partido político de la Alianza",9,0,"No","Simpatizantes de la Alianza de Oposicion","Pacifico",-87.192136,14.0722751,"14.0722751,-87.192136"
2017-12-01,"UMEP-02 Belen","Barrio Belén","Tegucigalpa","Francisco Morazan","Pacifica","200","Si","Desacuerdo con el resultado de las [resientes elecciones",NA,0,"Si","Simpatizantes de la Alianza de Oposicion","Pacifico",-87.192136,14.0722751,"14.0722751,-87.192136"
2017-12-01,"UMEP-03 La Rosa","Carretera de la Colonia Altos de Santa Rosa","Tegucigalpa","Francisco Morazan","Pacifica","20","Si","Exigen transparencia en el conteo de votos",NA,0,"Si","Simpatizantes de la Alianza de Oposicion","Pacifico",-87.192136,14.0722751,"14.0722751,-87.192136"
2017-12-01,"UMEP-03 La Rosa","Blv. Económica Europea a la altura de CAMOSA","Tegucigalpa","Francisco Morazan","Pacifica","65","Si","reclaman la victoria del Partido político de la Alianza",NA,0,"No","Simpatizantes de la Alianza de Oposicion","Pacifico",-87.192136,14.0722751,"14.0722751,-87.192136"
2017-12-01,"UMEP-03 La Rosa","Bulv. Kuwait frete a Cascadas Mall","Tegucigalpa","Francisco Morazan","Violenta","100","Si","Exigen transparencia en el conteo de votos",NA,0,"Si","Simpatizantes de la Alianza de Oposicion","Violento",-87.192136,14.0722751,"14.0722751,-87.192136"
2017-12-01,"UMEP-03 La Rosa","Puente de la Col. Venezuela","Tegucigalpa","Francisco Morazan","Violenta",NA,"Si","Exigen transparencia en el conteo de votos y renuncia de JOH",NA,0,"No","Simpatizantes de la Alianza de Oposicion","Violento",-87.192136,14.0722751,"14.0722751,-87.192136"
2017-12-01,"UMEP-03 La Rosa","banasupro, Col. La Pena y Col. Popular","Tegucigalpa","Francisco Morazan","Violenta",NA,"Si","Saqueo de 2 locales de BANASUPRO",NA,0,"No","Simpatizantes de la Alianza de Oposicion","Violento",-87.192136,14.0722751,"14.0722751,-87.192136"
